SYMBOL,P
KIAA0754,0.6408
NA,0.76313
BMP8A,0.9393
PABPC4,0.082972
HEYL,0.84527
NT5C1A,0.97131
HPCAL4,0.49626
PPIE,0.096642
BMP8B,0.36817
OXCT2,0.7477
LOC105378951,0.71608
LOC101929536,0.24519
TRIT1,0.041103
MYCL,0.052468
MFSD2A,0.1587
CAP1,0.039815
PPT1,0.18886
RLF,0.75923
TMCO2,0.59358
ZMPSTE24,0.88918
COL9A2,0.47242
SMAP2,0.79516
ZFP69B,0.4206
ZFP69,0.05965
EXO5,0.13309
ZNF684,0.041528
RIMS3,0.002244
NFYC,0.004376
KCNQ4,0.32427
CITED4,0.19549
CTPS1,0.25984
SLFNL1,0.61655
SCMH1,0.85871
FOXO6,0.76585
FOXO6-AS1,0.7564
EDN2,0.92071
HIVEP3,0.10256
GUCA2B,0.66556
GUCA2A,0.76756
FOXJ3,0.70847
RIMKLA,1.0873e-05
ZMYND12,0.0024381
PPCS,0.010538
CCDC30,0.0055101
PPIH,0.033998
YBX1,0.064527
CLDN19,0.090903
P3H1,0.026203
C1orf50,0.25776
TMEM269,0.77401
SVBP,0.10015
ERMAP,0.03652
ZNF691,0.40785
SLC2A1,0.76658
NA,0.3477
FAM183A,0.28764
EBNA1BP2,0.55728
CFAP57,0.53657
TMEM125,0.13854
C1orf210,0.1007
TIE1,0.37512
MPL,0.17171
CDC20,0.021428
ELOVL1,0.56481
MED8,0.063805
SZT2,0.18156
HYI,0.85741
PTPRF,0.0036553
KDM4A,0.014004
ST3GAL3,0.068401
ARTN,0.10972
IPO13,0.58641
DPH2,0.18142
ATP6V0B,0.3002
B4GALT2,0.58018
CCDC24,0.17234
SLC6A9,0.84766
KLF17,0.24667
KLF18,0.081206
DMAP1,0.12721
ERI3,0.036405
RNF220,0.016577
TMEM53,0.57221
ARMH1,0.26287
KIF2C,0.90503
RPS8,0.68045
BEST4,0.92733
PLK3,0.43341
TCTEX1D4,0.41413
BTBD19,0.96831
PTCH2,0.95109
EIF2B3,0.9283
HECTD3,0.71435
UROD,0.60743
ZSWIM5,0.44112
HPDL,0.95218
MUTYH,0.38551
TOE1,0.64288
TESK2,0.89734
MMACHC,0.93542
PRDX1,0.81269
AKR1A1,0.95874
NASP,0.96328
CCDC17,0.74023
GPBP1L1,0.83812
TMEM69,0.73299
IPP,0.93551
MAST2,0.52576
PIK3R3,0.61635
TSPAN1,0.48007
POMGNT1,0.52407
LURAP1,0.54117
RAD54L,0.84593
LRRC41,0.59996
UQCRH,0.68538
NSUN4,0.65366
FAAH,0.60137
DMBX1,0.91043
KNCN,0.58047
MKNK1,0.25352
MOB3C,0.076989
ATPAF1,0.50493
TEX38,0.53757
EFCAB14,0.88219
CYP4B1,0.53015
CYP4A11,0.55707
CYP4X1,0.92703
CYP4Z1,0.87487
CYP4A22,0.41947
PDZK1IP1,0.56858
TAL1,0.2427
STIL,0.23118
CMPK1,0.21253
FOXE3,0.79654
FOXD2,0.35363
TRABD2B,0.92993
SLC5A9,0.095821
SPATA6,0.057091
AGBL4,0.29588
BEND5,0.24141
ELAVL4,0.7077
DMRTA2,0.45905
FAF1,0.0095294
CDKN2C,0.017742
C1orf185,0.10027
RNF11,0.28825
TTC39A,0.024169
EPS15,0.0153
OSBPL9,0.55825
NRDC,0.71879
RAB3B,0.78699
TXNDC12,0.8696
KTI12,0.79687
BTF3L4,0.63344
ZFYVE9,0.78006
CC2D1B,0.66739
ORC1,0.80472
PRPF38A,0.89637
TUT4,0.7909
NA,0.9013
GPX7,0.73175
SHISAL2A,0.4631
COA7,0.57584
ZYG11B,0.87301
ZYG11A,0.41599
ECHDC2,0.53046
SCP2,0.27539
PODN,0.71918
SLC1A7,0.61333
CPT2,0.94912
CZIB,0.6704
MAGOH,0.79001
LRP8,0.59802
DMRTB1,0.059347
GLIS1,0.10639
NA,0.13019
NDC1,0.082241
YIPF1,0.21322
DIO1,0.2459
HSPB11,0.38178
LRRC42,0.49603
LDLRAD1,0.93743
TMEM59,0.053633
TCEANC2,0.78495
CDCP2,0.93138
CYB5RL,0.34921
MRPL37,0.38276
SSBP3,0.41717
ACOT11,0.027422
FAM151A,0.034471
MROH7,0.16051
TTC4,0.66604
PARS2,0.072155
TTC22,0.9477
LEXM,0.95111
DHCR24,0.61807
TMEM61,0.98845
BSND,0.89577
PCSK9,0.24182
USP24,0.80689
PLPP3,0.20866
PRKAA2,0.2644
FYB2,0.35627
C8A,0.18923
C8B,0.85509
DAB1,0.23208
OMA1,0.69574
TACSTD2,0.28881
MYSM1,0.056867
JUN,0.19719
FGGY,0.19401
HOOK1,0.28751
CYP2J2,0.28625
C1orf87,0.89762
NFIA,0.15046
TM2D1,0.63212
PATJ,0.45545
L1TD1,0.86632
KANK4,0.38817
USP1,0.0056806
DOCK7,0.0093773
ANGPTL3,0.028295
ATG4C,0.46563
FOXD3,0.85397
ALG6,0.8556
ITGB3BP,0.86488
EFCAB7,0.83793
PGM1,0.99241
ROR1,0.27373
UBE2U,0.47678
CACHD1,0.26583
RAVER2,0.21227
JAK1,0.018433
NA,0.461
AK4,0.26071
DNAJC6,0.097277
LEPROT,0.030469
LEPR,0.10367
PDE4B,0.5407
SGIP1,0.18851
TCTEX1D1,0.72222
INSL5,0.71479
DNAI4,0.22682
MIER1,0.025262
SLC35D1,0.010115
C1orf141,0.72028
IL23R,0.3345
IL12RB2,0.28742
SERBP1,0.27682
GADD45A,0.04028
GNG12,0.13589
DIRAS3,0.67341
WLS,0.55871
RPE65,0.064996
DEPDC1,0.42338
LRRC7,0.056333
LRRC40,0.89571
SRSF11,0.95969
ANKRD13C,0.65675
HHLA3,0.092518
CTH,0.22085
PTGER3,0.2281
ZRANB2,0.31342
NEGR1,0.24194
LRRIQ3,0.519
FPGT,0.4621
FPGT-TNNI3K,0.46852
TNNI3K,0.42164
NA,0.1723
LRRC53,0.25979
ERICH3,0.10292
CRYZ,0.63755
TYW3,0.47745
LHX8,0.91365
SLC44A5,0.20928
ACADM,0.83509
RABGGTB,0.38214
MSH4,0.72765
ASB17,0.86185
ST6GALNAC3,0.87432
ST6GALNAC5,0.66426
PIGK,0.035011
AK5,0.75278
ZZZ3,0.37057
USP33,0.55262
MIGA1,0.56349
NEXN,0.42107
FUBP1,0.23069
DNAJB4,0.35723
GIPC2,0.69534
PTGFR,0.67606
IFI44L,0.95823
IFI44,0.62816
ADGRL4,0.4732
ADGRL2,0.26037
TTLL7,0.49341
PRKACB,0.46357
SAMD13,0.0036181
DNASE2B,0.038967
RPF1,0.11924
GNG5,0.35961
SPATA1,0.19838
CTBS,0.53077
SSX2IP,0.55016
LPAR3,0.22959
MCOLN2,0.93231
MCOLN3,0.332
DNAI3,0.4385
SYDE2,0.66461
C1orf52,0.58737
BCL10,0.50211
DDAH1,0.28327
CCN1,0.84131
ZNHIT6,0.62257
COL24A1,0.66489
ODF2L,0.63365
CLCA2,0.9439
CLCA1,0.18567
CLCA4,0.021013
CLCA4-AS1,0.10958
SH3GLB1,0.46282
SELENOF,0.23515
HS2ST1,0.12933
LINC02801,0.23657
NA,0.2039
LMO4,0.023727
PKN2,0.8832
GTF2B,0.93629
KYAT3,0.5161
RBMXL1,0.29859
GBP3,0.066867
GBP1,0.78477
GBP2,0.71761
GBP7,0.81266
GBP4,0.6287
GBP5,0.98058
GBP6,0.096242
LRRC8B,0.58142
LRRC8C,0.90864
LRRC8D,0.16099
NA,0.20916
ZNF326,0.20349
BARHL2,0.070659
ZNF644,0.45015
HFM1,0.63447
CDC7,0.26554
TGFBR3,0.19974
BRDT,0.35537
EPHX4,0.20257
SETSIP,0.9317
BTBD8,0.82218
NA,0.71439
C1orf146,0.7244
GLMN,0.83148
RPAP2,0.64751
GFI1,0.089131
EVI5,0.084604
RPL5,0.10351
DIPK1A,0.018453
MTF2,0.29673
TMED5,0.585
CCDC18,0.67077
DR1,0.42846
FNBP1L,0.3991
BCAR3,0.18607
DNTTIP2,0.73312
GCLM,0.33714
ABCA4,0.22459
ARHGAP29,0.88628
ABCD3,0.89749
F3,0.92447
SLC44A3,0.13977
CNN3,0.037179
NA,0.029841
ALG14,0.0037095
TLCD4,0.52367
TLCD4-RWDD3,0.9814
RWDD3,0.92108
PTBP2,0.4947
DPYD,0.61169
SNX7,0.43911
PLPPR5,0.54384
PLPPR4,0.665
PALMD,0.9103
FRRS1,0.13553
AGL,0.24235
SLC35A3,0.51184
MFSD14A,0.63051
SASS6,0.79808
TRMT13,0.88502
LRRC39,0.88607
DBT,0.40647
RTCA,0.15738
CDC14A,0.64019
GPR88,0.45821
VCAM1,0.34877
EXTL2,0.32567
SLC30A7,0.13343
DPH5,0.13726
S1PR1,0.95122
OLFM3,0.61016
COL11A1,0.36861
LOC101928436,0.25744
RNPC3,0.71844
AMY2B,0.66688
AMY2A,0.50487
PRMT6,0.93116
NTNG1,0.75027
VAV3,0.93816
SLC25A24,0.5721
NBPF4,0.2435
NBPF6,0.19348
FAM102B,0.14828
HENMT1,0.1649
PRPF38B,0.30738
FNDC7,0.49564
STXBP3,0.56904
AKNAD1,0.049949
GPSM2,0.028331
CLCC1,0.2314
WDR47,0.22759
TAF13,0.64011
TMEM167B,0.72183
C1orf194,0.30035
ELAPOR1,0.28139
SARS1,0.35757
CELSR2,0.36786
PSRC1,0.7006
MYBPHL,0.59101
SORT1,0.57784
PSMA5,0.70083
SYPL2,0.45946
ATXN7L2,0.94292
CYB561D1,0.097242
AMIGO1,0.070692
GPR61,0.28285
GNAI3,0.23534
GNAT2,0.8794
AMPD2,0.77066
GSTM4,0.80029
GSTM2,0.84047
GSTM5,0.80957
GSTM3,0.17796
EPS8L3,0.55968
CSF1,0.58168
AHCYL1,0.84078
STRIP1,0.75685
ALX3,0.76943
UBL4B,0.41987
SLC6A17,0.046445
KCNC4,0.70247
RBM15,0.54304
SLC16A4,0.74591
LAMTOR5,0.9347
PROK1,0.9286
KCNA10,0.83197
NA,0.87807
KCNA2,0.9715
KCNA3,0.47508
CD53,0.69441
LRIF1,0.24273
DRAM2,0.5093
CEPT1,0.54673
DENND2D,0.60506
CHI3L2,0.056319
CHIA,0.93611
PIFO,0.82892
OVGP1,0.86969
WDR77,0.4692
ATP5PB,0.95754
C1orf162,0.98127
TMIGD3,0.0091002
ADORA3,0.036568
RAP1A,0.76585
INKA2,0.66467
DDX20,0.85579
KCND3,0.55066
LINC01750,0.91818
CTTNBP2NL,0.30675
WNT2B,0.49896
ST7L,0.92818
CAPZA1,0.99901
MOV10,0.96861
RHOC,0.71513
PPM1J,0.91554
TAFA3,0.76342
SLC16A1,0.38584
LRIG2,0.17098
MAGI3,0.59863
PHTF1,0.58301
RSBN1,0.66576
PTPN22,0.50755
BCL2L15,0.51404
AP4B1,0.29963
DCLRE1B,0.76614
HIPK1,0.19628
OLFML3,0.36893
SYT6,0.060966
TRIM33,0.022055
BCAS2,0.68093
DENND2C,0.32352
AMPD1,0.51145
NRAS,0.31939
CSDE1,0.57456
SIKE1,0.48478
SYCP1,0.47923
TSHB,0.4485
TSPAN2,0.50403
NGF,0.96314
VANGL1,0.035705
CASQ2,0.10657
NHLH2,0.22686
SLC22A15,0.11116
MAB21L3,0.55782
ATP1A1,0.089563
CD58,0.024186
IGSF3,0.13922
LINC02868,0.41122
CD2,0.73516
PTGFRN,0.44013
CD101,0.75603
TTF2,0.57504
TRIM45,0.84844
VTCN1,0.29742
MAN1A2,0.5306
TENT5C,0.14651
GDAP2,0.62301
WDR3,0.61429
SPAG17,0.9121
TBX15,0.79678
WARS2,0.65688
HAO2,0.87064
HSD3B2,0.24485
HSD3B1,0.0052251
ZNF697,0.62107
PHGDH,0.88799
HMGCS2,0.77881
REG4,0.16559
NBPF7,0.8866
ADAM30,0.29253
NOTCH2,0.42272
NBPF8,0.161
LOC105369199,0.019972
NA,0.074718
PDE4DIPP4,0.0096179
FCGR1B,0.066827
LOC100996318,0.333
FAM72B,0.11714
SRGAP2C,0.10108
LOC105369140,0.49128
PDE4DIPP3,0.12118
FAM72C,0.2222
NBPF15,0.13592
SRGAP2B,0.63072
FAM72D,0.39824
NBPF20,0.19039
GPR89A,0.22172
PDZK1,0.6201
CD160,0.44039
RNF115,0.45826
POLR3C,0.83623
NUDT17,0.86682
PIAS3,0.38767
ANKRD35,0.75706
ITGA10,0.31774
PEX11B,0.57861
RBM8A,0.98345
LIX1L,0.70468
POLR3GL,0.96766
ANKRD34A,0.77797
TXNIP,0.35495
HJV,0.45362
NBPF10,0.86921
NA,0.004749
NBPF12,0.015588
PRKAB2,0.75041
FMO5,0.65489
CHD1L,0.2312
BCL9,0.78094
ACP6,0.78253
GJA5,0.66767
GJA8,0.8464
GPR89B,0.46229
NBPF11,0.8936
PDE4DIP,0.77386
NBPF9,0.9851
PDE4DIPP7,0.32674
H2BC18,0.33835
FCGR1A,0.035276
NA,0.14404
H2BC21,0.28799
H2AC21,0.5221
BOLA1,0.52031
SV2A,0.32274
SF3B4,0.74082
MTMR11,0.77083
OTUD7B,0.87598
NA,0.59855
VPS45,0.30801
PLEKHO1,0.37756
ANP32E,0.019534
CA14,0.082904
APH1A,0.15587
C1orf54,0.19097
CIART,0.40509
MRPS21,0.24826
PRPF3,0.29466
RPRD2,0.26977
TARS2,0.15708
ECM1,0.13836
ADAMTSL4,0.06544
MCL1,0.36564
ENSA,0.15548
GOLPH3L,0.17516
HORMAD1,0.31266
CTSS,0.26885
CTSK,0.55118
ARNT,0.29169
SETDB1,0.076271
CERS2,0.1253
ANXA9,0.14385
MINDY1,0.057974
PRUNE1,0.2352
BNIPL,0.16435
C1orf56,0.3537
CDC42SE1,0.25899
MLLT11,0.20301
GABPB2,0.063829
SEMA6C,0.053176
TNFAIP8L2,0.073837
TNFAIP8L2-SCNM1,0.29585
LYSMD1,0.45143
SCNM1,0.25363
TMOD4,0.12243
VPS72,0.2525
PIP5K1A,0.61335
PSMD4,0.70383
ZNF687,0.89104
PI4KB,0.3433
RFX5,0.59919
SELENBP1,0.093149
PSMB4,0.76632
POGZ,0.68709
CGN,0.18993
TUFT1,0.2825
SNX27,0.44963
CELF3,0.76556
RIIAD1,0.38424
MRPL9,0.47494
OAZ3,0.41177
TDRKH,0.33437
LINGO4,0.36997
RORC,0.48801
C2CD4D,0.70182
THEM5,0.62111
THEM4,0.71922
S100A10,0.89138
S100A11,0.049644
LOC100131107,0.92885
TCHHL1,0.85382
TCHH,0.36076
RPTN,0.84321
HRNR,0.77328
FLG,0.79161
FLG2,0.36831
CRNN,0.7124
LCE5A,0.97077
CRCT1,0.77403
LCE3E,0.99347
LCE3D,0.31215
LCE3A,0.5443
LCE2D,0.095101
LCE2C,0.35818
LCE2B,0.064942
LCE2A,0.15887
LCE4A,0.29279
C1orf68,0.02607
KPRP,0.29947
LCE1F,0.61158
LCE1E,0.2784
LCE1C,0.305
LCE1B,0.041241
LCE1A,0.97132
LCE6A,0.51735
SMCP,0.44486
IVL,0.67974
SPRR4,0.41058
SPRR1A,0.75759
SPRR3,0.70533
SPRR1B,0.65575
SPRR2D,0.94115
SPRR2A,0.67591
SPRR2B,0.84357
SPRR2E,0.68317
SPRR2F,0.62052
SPRR2G,0.87879
LELP1,0.17
PRR9,0.52409
LORICRIN,0.61127
PGLYRP3,0.056112
PGLYRP4,0.10849
S100A9,0.69245
S100A12,0.23344
S100A8,0.15855
S100A7A,0.75434
S100A7L2,0.94696
S100A7,0.86723
S100A6,0.94891
S100A5,0.70009
S100A4,0.063839
S100A3,0.076911
S100A2,0.073764
S100A16,0.33767
S100A14,0.15645
S100A13,0.25132
S100A1,0.63599
CHTOP,0.59593
SNAPIN,0.11252
ILF2,0.48703
NPR1,0.34663
INTS3,0.55181
SLC27A3,0.65269
NA,0.18372
GATAD2B,0.51638
DENND4B,0.28207
CRTC2,0.29943
SLC39A1,0.19082
CREB3L4,0.089943
JTB,0.51394
RAB13,0.032058
RPS27,0.22809
NUP210L,0.23728
TPM3,0.2813
C1orf189,0.11664
C1orf43,0.14042
UBAP2L,0.075488
HAX1,0.0037772
AQP10,0.96172
ATP8B2,0.35979
IL6R,0.17307
SHE,0.85355
TDRD10,0.80992
UBE2Q1,0.79466
CHRNB2,0.33613
ADAR,0.45921
KCNN3,0.18553
PMVK,0.81724
PBXIP1,0.44414
PYGO2,0.23161
LOC101928120,0.90116
SHC1,0.16732
CKS1B,0.62002
