SYMBOL,P
LCK,0.5676
HDAC1,0.42963
MARCKSL1,0.593
TSSK3,0.66149
FAM229A,0.68969
BSDC1,0.79174
ZBTB8B,0.85124
ZBTB8A,0.97182
ZBTB8OS,0.53219
RBBP4,0.48967
SYNC,0.61773
KIAA1522,0.48051
YARS1,0.4286
S100PBP,0.5702
FNDC5,0.80032
HPCA,0.96242
TMEM54,0.90347
RNF19B,0.88758
AK2,0.22783
AZIN2,0.26609
TRIM62,0.57949
ZNF362,0.37362
A3GALT2,0.095115
PHC2,0.077426
ZSCAN20,0.53339
CSMD2,0.93791
HMGB4,0.89479
C1orf94,0.45975
GJB5,0.4765
GJB4,0.42007
GJB3,0.30252
GJA4,0.21373
SMIM12,0.64497
DLGAP3,0.49955
TMEM35B,0.18564
ZMYM6,0.19287
ZMYM1,0.069683
SFPQ,0.027333
ZMYM4,0.20795
KIAA0319L,0.067665
NCDN,0.24873
TFAP2E,0.44713
PSMB2,0.54356
C1orf216,0.61726
CLSPN,0.47235
AGO4,0.44933
AGO1,0.31211
AGO3,0.2803
TEKT2,0.12248
ADPRS,0.1014
COL8A2,0.080819
TRAPPC3,0.23268
MAP7D1,0.34832
THRAP3,0.104
SH3D21,0.10117
EVA1B,0.09238
STK40,0.043241
LSM10,0.19641
OSCP1,0.45093
MRPS15,0.67213
CSF3R,0.87424
GRIK3,0.91729
ZC3H12A,0.53368
MEAF6,0.31355
SNIP1,0.22925
DNALI1,0.24152
GNL2,0.28698
RSPO1,0.72943
C1orf109,0.71457
CDCA8,0.75765
EPHA10,0.11258
MANEAL,0.036122
YRDC,0.036235
C1orf122,0.053592
MTF1,0.027923
INPP5B,0.021156
SF3A3,0.08205
FHL3,0.026567
UTP11,0.089015
POU3F1,0.50622
RRAGC,0.044233
MYCBP,0.022854
GJA9,0.02303
RHBDL2,0.10556
AKIRIN1,0.71339
NDUFS5,0.76495
MACF1,0.36964
KIAA0754,0.13237
BMP8A,0.22734
PABPC4,0.4533
HEYL,0.22931
NT5C1A,0.082819
HPCAL4,0.092828
PPIE,0.26925
BMP8B,0.32725
OXCT2,0.30212
LOC101929536,0.32614
TRIT1,0.18938
MYCL,0.13902
MFSD2A,0.021869
CAP1,0.34251
PPT1,0.26628
RLF,0.11944
TMCO2,0.10671
ZMPSTE24,0.18709
COL9A2,0.52384
SMAP2,0.62605
ZFP69B,0.4146
ZFP69,0.24907
EXO5,0.20155
ZNF684,0.28583
RIMS3,0.041956
NFYC,0.031212
KCNQ4,0.15265
CITED4,0.19524
CTPS1,0.75394
SLFNL1,0.62238
SCMH1,0.67397
FOXO6,0.85585
EDN2,0.95843
HIVEP3,0.42399
GUCA2B,0.051573
GUCA2A,0.055665
FOXJ3,0.24208
RIMKLA,0.57928
ZMYND12,0.33417
PPCS,0.26607
CCDC30,0.29887
PPIH,0.095913
YBX1,0.073279
CLDN19,0.61315
P3H1,0.75717
C1orf50,0.84067
TMEM269,0.6946
SVBP,0.63733
ERMAP,0.54189
ZNF691,0.30923
SLC2A1,0.025559
FAM183A,0.89833
EBNA1BP2,0.77499
CFAP57,0.74354
TMEM125,0.79664
C1orf210,0.81536
TIE1,0.73804
MPL,0.74407
CDC20,0.78102
ELOVL1,0.80636
MED8,0.72869
SZT2,0.84244
HYI,0.89522
PTPRF,0.18719
KDM4A,0.15141
ST3GAL3,0.44538
ARTN,0.60046
IPO13,0.42075
DPH2,0.30068
ATP6V0B,0.25167
B4GALT2,0.30778
CCDC24,0.36706
SLC6A9,0.4621
KLF17,0.53242
DMAP1,0.067255
ERI3,0.051597
RNF220,0.66897
TMEM53,0.16691
ARMH1,0.45302
KIF2C,0.67
RPS8,0.78636
BEST4,0.83078
PLK3,0.69413
TCTEX1D4,0.68485
BTBD19,0.69901
PTCH2,0.85109
EIF2B3,0.84025
HECTD3,0.87507
UROD,0.88986
ZSWIM5,0.88456
HPDL,0.31472
MUTYH,0.17212
TOE1,0.093861
TESK2,0.0846
MMACHC,0.11238
PRDX1,0.10721
AKR1A1,0.30066
NASP,0.35826
CCDC17,0.41236
GPBP1L1,0.42908
TMEM69,0.44734
IPP,0.46833
MAST2,0.69845
PIK3R3,0.83625
TSPAN1,0.94076
POMGNT1,0.936
LURAP1,0.91648
RAD54L,0.87229
LRRC41,0.89901
UQCRH,0.87014
NSUN4,0.99063
FAAH,0.97158
DMBX1,0.77696
KNCN,0.44573
MKNK1,0.52304
MOB3C,0.53111
ATPAF1,0.58235
TEX38,0.67693
EFCAB14,0.67267
CYP4B1,0.22816
CYP4A11,0.12522
CYP4X1,0.009776
CYP4Z1,0.018476
CYP4A22,0.026708
PDZK1IP1,0.14127
TAL1,0.49032
STIL,0.55032
CMPK1,0.44258
FOXE3,0.70345
FOXD2,0.77873
TRABD2B,0.9302
SLC5A9,0.34338
SPATA6,0.28168
AGBL4,0.34291
BEND5,0.56305
ELAVL4,0.83509
DMRTA2,0.027498
FAF1,0.020624
CDKN2C,0.21531
C1orf185,0.18551
RNF11,0.61519
TTC39A,0.31362
EPS15,0.24799
OSBPL9,0.26984
NRDC,0.046115
RAB3B,0.11919
TXNDC12,0.02116
KTI12,0.035089
BTF3L4,0.019968
ZFYVE9,0.03356
CC2D1B,0.029481
ORC1,0.038395
PRPF38A,0.080004
TUT4,0.14262
GPX7,0.058271
SHISAL2A,0.30382
COA7,0.57336
ZYG11B,0.8587
ZYG11A,0.65619
ECHDC2,0.57384
SCP2,0.26782
PODN,0.31678
SLC1A7,0.65155
CPT2,0.38581
CZIB,0.35971
MAGOH,0.49006
LRP8,0.94766
DMRTB1,0.50579
GLIS1,0.97021
NDC1,0.64359
YIPF1,0.79275
DIO1,0.95493
HSPB11,0.89436
LRRC42,0.93294
LDLRAD1,0.62922
TMEM59,0.26132
TCEANC2,0.27931
CDCP2,0.71559
CYB5RL,0.41568
MRPL37,0.44566
SSBP3,0.1296
ACOT11,0.087853
FAM151A,0.070657
MROH7,0.29456
TTC4,0.1358
PARS2,0.04002
TTC22,0.40871
LEXM,0.41305
DHCR24,0.20794
TMEM61,0.51451
BSND,0.42769
PCSK9,0.18375
USP24,0.22662
PLPP3,0.95568
PRKAA2,0.78593
FYB2,0.2172
C8A,0.9501
C8B,0.55746
DAB1,0.091695
OMA1,0.58312
TACSTD2,0.6624
MYSM1,0.18535
JUN,0.45417
FGGY,0.71754
HOOK1,0.57068
CYP2J2,0.80599
C1orf87,0.29783
NFIA,0.50181
TM2D1,0.20403
PATJ,0.89034
L1TD1,0.75168
KANK4,0.96036
USP1,0.72034
DOCK7,0.55269
ANGPTL3,0.76683
ATG4C,0.76971
FOXD3,0.41995
ALG6,0.98327
ITGB3BP,0.93868
EFCAB7,0.95361
PGM1,0.96924
ROR1,0.14803
UBE2U,0.89206
CACHD1,0.35207
RAVER2,0.11236
JAK1,0.18375
AK4,0.52182
DNAJC6,0.68843
LEPROT,0.96053
LEPR,0.95115
PDE4B,0.583
SGIP1,0.14361
TCTEX1D1,0.83851
INSL5,0.64476
DNAI4,0.84472
MIER1,0.73248
SLC35D1,0.88733
C1orf141,0.23298
IL23R,0.20921
IL12RB2,0.62643
SERBP1,0.93981
GADD45A,0.067833
GNG12,0.076582
DIRAS3,0.81598
WLS,0.42061
RPE65,0.19845
DEPDC1,0.69022
LRRC7,0.86401
LRRC40,0.34873
SRSF11,0.20103
ANKRD13C,0.35615
HHLA3,0.64123
CTH,0.9379
PTGER3,0.49707
ZRANB2,0.51855
NEGR1,0.54318
LRRIQ3,0.09637
FPGT,0.19829
FPGT-TNNI3K,0.26295
TNNI3K,0.25568
ERICH3,0.068629
CRYZ,0.79184
TYW3,0.79818
LHX8,0.23408
SLC44A5,0.99088
ACADM,0.36204
RABGGTB,0.43606
MSH4,0.71634
ASB17,0.69095
ST6GALNAC3,0.060311
ST6GALNAC5,0.69237
PIGK,0.29962
AK5,0.51801
ZZZ3,0.69351
USP33,0.62189
MIGA1,0.35259
NEXN,0.079275
FUBP1,0.073746
DNAJB4,0.079937
GIPC2,0.10081
PTGFR,0.27013
IFI44L,0.26035
IFI44,0.35306
ADGRL4,0.33366
ADGRL2,0.17447
TTLL7,0.16887
PRKACB,0.038349
SAMD13,0.67558
DNASE2B,0.94672
RPF1,0.79618
GNG5,0.78684
SPATA1,0.67516
CTBS,0.28086
SSX2IP,0.57373
LPAR3,0.046599
MCOLN2,0.12182
MCOLN3,0.56464
DNAI3,0.38342
SYDE2,0.24936
C1orf52,0.71399
BCL10,0.56412
DDAH1,0.3936
CCN1,0.49794
ZNHIT6,0.92132
COL24A1,0.020036
ODF2L,0.15883
CLCA2,0.25932
CLCA1,0.11384
CLCA4,0.10918
SH3GLB1,0.37532
SELENOF,0.073464
HS2ST1,0.078392
LINC02801,0.14264
LMO4,0.18882
PKN2,0.12108
GTF2B,0.085782
KYAT3,0.28787
RBMXL1,0.40547
GBP3,0.93
GBP1,0.92895
GBP2,0.99115
GBP7,0.83794
GBP4,0.56467
GBP5,0.50299
GBP6,0.2446
LRRC8B,0.41431
LRRC8C,0.2157
LRRC8D,0.13965
ZNF326,0.775
BARHL2,0.34559
ZNF644,0.13955
HFM1,0.57136
CDC7,0.84019
TGFBR3,0.80292
BRDT,0.28631
EPHX4,0.083585
SETSIP,0.19554
BTBD8,0.13203
NA,0.22178
C1orf146,0.66056
GLMN,0.61495
RPAP2,0.6914
GFI1,0.46352
EVI5,0.47336
RPL5,0.70271
DIPK1A,0.83278
MTF2,0.83435
TMED5,0.63671
CCDC18,0.6304
DR1,0.62392
FNBP1L,0.24733
BCAR3,0.0026401
DNTTIP2,0.016561
GCLM,0.059248
ABCA4,0.21773
ARHGAP29,0.49833
ABCD3,0.52933
F3,0.44948
SLC44A3,0.33835
CNN3,0.14158
ALG14,0.35899
TLCD4,0.53612
TLCD4-RWDD3,0.52884
RWDD3,0.45962
PTBP2,0.042279
DPYD,0.94949
SNX7,0.87891
PLPPR5,0.80293
PLPPR4,0.40121
PALMD,0.052889
FRRS1,0.0098457
AGL,0.61216
SLC35A3,0.38856
MFSD14A,0.31671
SASS6,0.18085
TRMT13,0.12275
LRRC39,0.10425
DBT,0.19321
RTCA,0.44295
CDC14A,0.11734
GPR88,0.039497
VCAM1,0.46182
EXTL2,0.012168
SLC30A7,0.042315
DPH5,0.03089
S1PR1,0.028748
OLFM3,0.84728
COL11A1,0.051003
RNPC3,0.27674
AMY2B,0.28758
AMY2A,0.36222
AMY1A,0.17528
AMY1B,0.17387
AMY1C,0.45254
PRMT6,0.63774
NTNG1,0.5314
VAV3,0.73187
SLC25A24,0.41265
NBPF4,0.31311
NBPF6,0.0092182
FAM102B,0.52011
HENMT1,0.37489
PRPF38B,0.36666
FNDC7,0.37038
STXBP3,0.30666
AKNAD1,0.31549
GPSM2,0.37602
CLCC1,0.52556
WDR47,0.69885
TAF13,0.91123
TMEM167B,0.89708
C1orf194,0.90609
ELAPOR1,0.89715
SARS1,0.17401
CELSR2,0.21816
PSRC1,0.47439
MYBPHL,0.61282
SORT1,0.4168
PSMA5,0.46369
SYPL2,0.46163
ATXN7L2,0.55484
CYB561D1,0.81449
AMIGO1,0.88033
GPR61,0.84617
GNAI3,0.35859
GNAT2,0.3895
AMPD2,0.56197
GSTM4,0.87268
GSTM2,0.97116
GSTM1,0.9808
GSTM5,0.95153
GSTM3,0.70944
EPS8L3,0.78819
CSF1,0.13332
AHCYL1,0.10808
STRIP1,0.043638
ALX3,0.076318
UBL4B,0.12146
SLC6A17,0.2373
KCNC4,0.83591
RBM15,0.5293
SLC16A4,0.60802
LAMTOR5,0.68609
PROK1,0.38128
KCNA10,0.78432
KCNA2,0.15395
KCNA3,0.065995
CD53,0.025196
LRIF1,0.89123
DRAM2,0.28288
CEPT1,0.61368
DENND2D,0.90166
CHI3L2,0.79467
CHIA,0.80174
PIFO,0.80255
OVGP1,0.083607
WDR77,0.018114
ATP5PB,0.016972
C1orf162,0.0065586
ADORA3,0.042799
RAP1A,0.62856
INKA2,0.81319
DDX20,0.84288
KCND3,0.25159
LINC01750,0.79969
CTTNBP2NL,0.75921
WNT2B,0.26786
ST7L,0.083325
CAPZA1,0.15988
MOV10,0.10629
RHOC,0.15572
PPM1J,0.093898
TAFA3,0.076527
SLC16A1,0.37931
LRIG2,0.85517
MAGI3,0.058313
PHTF1,0.079618
RSBN1,0.25759
PTPN22,0.41676
BCL2L15,0.2708
AP4B1,0.35304
DCLRE1B,0.45047
HIPK1,0.71837
OLFML3,0.5384
SYT6,0.64737
TRIM33,0.059558
BCAS2,0.09376
DENND2C,0.044729
AMPD1,0.15579
NRAS,0.17407
CSDE1,0.64289
SIKE1,0.85515
SYCP1,0.12871
TSHB,0.029045
TSPAN2,0.11588
NGF,0.10477
VANGL1,0.077347
CASQ2,0.63565
NHLH2,0.6131
SLC22A15,0.29796
MAB21L3,0.11756
ATP1A1,0.56087
CD58,0.63553
IGSF3,0.10508
LINC02868,0.24507
CD2,0.045023
PTGFRN,0.2405
CD101,0.26308
TTF2,0.35605
TRIM45,0.80637
VTCN1,0.84147
MAN1A2,0.082424
TENT5C,0.8179
GDAP2,0.27715
WDR3,0.22643
SPAG17,0.33563
TBX15,0.79074
WARS2,0.34394
HAO2,0.75307
HSD3B2,0.11167
HSD3B1,0.10707
ZNF697,0.31735
PHGDH,0.54594
HMGCS2,0.20738
REG4,0.29053
NBPF7,0.89409
ADAM30,0.79887
NOTCH2,0.58237
FAM72B,0.59402
LOC100996318,0.49504
FCGR1B,0.57871
PDE4DIP,0.83549
NOTCH2NLA,0.061981
NBPF10,0.075998
HJV,0.048345
TXNIP,0.10563
POLR3GL,0.34217
ANKRD34A,0.53585
LIX1L,0.49983
RBM8A,0.59377
PEX11B,0.54631
ITGA10,0.61815
ANKRD35,0.47842
PIAS3,0.36794
NUDT17,0.23992
POLR3C,0.233
RNF115,0.31549
CD160,0.31446
PDZK1,0.40502
GPR89A,0.57009
PRKAB2,0.57715
FMO5,0.49096
CHD1L,0.79445
BCL9,0.64447
ACP6,0.62737
GJA5,0.37139
GJA8,0.76997
GPR89B,0.35092
NBPF14,0.83839
PPIAL4D,0.98871
NBPF20,0.90498
NBPF15,0.67754
PPIAL4F,0.96336
NA,0.76939
PDE4DIPP3,0.79558
FCGR1A,0.25852
H2BC18,0.2502
NA,0.21825
H3C13,0.16372
H4C14,0.15777
H3C14,0.069937
H2AC18,0.093205
H2AC19,0.093205
H3C15,0.096607
H4C15,0.1019
H2BC21,0.29124
H2AC20,0.2974
H2AC21,0.2974
BOLA1,0.31922
SV2A,0.44943
SF3B4,0.45883
MTMR11,0.42748
OTUD7B,0.33526
VPS45,0.05798
PLEKHO1,0.091108
ANP32E,0.039815
CA14,0.052488
APH1A,0.080877
C1orf54,0.11377
CIART,0.10593
MRPS21,0.078837
PRPF3,0.057314
RPRD2,0.079392
TARS2,0.092463
ECM1,0.084453
ADAMTSL4,0.059789
MCL1,0.22604
ENSA,0.53682
GOLPH3L,0.6999
HORMAD1,0.74214
CTSS,0.49011
CTSK,0.4084
ARNT,0.38563
SETDB1,0.31428
CERS2,0.35106
ANXA9,0.42691
MINDY1,0.10463
PRUNE1,0.059792
BNIPL,0.014431
C1orf56,0.045378
CDC42SE1,0.064527
MLLT11,0.087322
GABPB2,0.112
SEMA6C,0.22541
TNFAIP8L2,0.31074
TNFAIP8L2-SCNM1,0.30925
LYSMD1,0.31369
SCNM1,0.35656
TMOD4,0.50303
VPS72,0.39816
PIP5K1A,0.30517
PSMD4,0.42396
ZNF687,0.4131
PI4KB,0.53902
RFX5,0.68426
SELENBP1,0.65366
PSMB4,0.25844
POGZ,0.25228
CGN,0.97691
TUFT1,0.98895
SNX27,0.74117
CELF3,0.75921
RIIAD1,0.88813
MRPL9,0.97521
OAZ3,0.98065
TDRKH,0.97212
LINGO4,0.92356
RORC,0.90438
C2CD4D,0.82622
THEM5,0.53289
THEM4,0.40094
S100A10,0.62092
S100A11,0.60498
LOC100131107,0.6332
TCHHL1,0.45922
TCHH,0.46364
RPTN,0.3999
HRNR,0.00018646
FLG,0.000036281
FLG2,0.0012297
CRNN,0.017962
LCE5A,0.62193
CRCT1,0.66303
LCE3E,0.78327
LCE3D,0.68445
LCE3C,0.48903
LCE3B,0.53153
LCE3A,0.58819
LCE2D,0.58469
LCE2C,0.46753
LCE2B,0.47528
LCE2A,0.37327
LCE4A,0.19443
C1orf68,0.15254
KPRP,0.26744
LCE1F,0.13683
LCE1E,0.087338
LCE1D,0.083219
LCE1C,0.081927
LCE1B,0.08728
LCE1A,0.51086
LCE6A,0.66003
SMCP,0.22368
IVL,0.090051
SPRR4,0.0095313
SPRR1A,0.014879
SPRR3,0.019048
SPRR1B,0.025223
SPRR2D,0.025728
SPRR2A,0.017922
SPRR2B,0.013128
SPRR2E,0.011062
SPRR2F,0.070721
SPRR2G,0.075753
LELP1,0.064021
PRR9,0.077714
LORICRIN,0.72889
PGLYRP3,0.51525
PGLYRP4,0.75858
S100A9,0.59663
S100A12,0.31268
S100A8,0.18003
S100A7A,0.14439
S100A7L2,0.18729
S100A7,0.47272
S100A6,0.13285
S100A5,0.10837
S100A4,0.095826
S100A3,0.089966
S100A2,0.057379
S100A16,0.13213
S100A14,0.121
S100A13,0.099992
S100A1,0.12017
CHTOP,0.079962
SNAPIN,0.032167
ILF2,0.0095271
NPR1,0.015031
INTS3,0.44044
SLC27A3,0.40856
GATAD2B,0.23554
DENND4B,0.15984
CRTC2,0.1595
SLC39A1,0.26005
CREB3L4,0.30464
JTB,0.3621
RAB13,0.4558
RPS27,0.61778
NUP210L,0.31627
TPM3,0.30157
C1orf189,0.42891
C1orf43,0.4206
UBAP2L,0.60021
HAX1,0.62035
AQP10,0.75775
ATP8B2,0.53107
IL6R,0.28958
SHE,0.0545
TDRD10,0.029524
UBE2Q1,0.035101
CHRNB2,0.15269
ADAR,0.48966
KCNN3,0.95734
PMVK,0.63128
PBXIP1,0.69335
PYGO2,0.73546
LOC101928120,0.84808
SHC1,0.72026
CKS1B,0.45933
FLAD1,0.49107
LENEP,0.48595
ZBTB7B,0.74343
DCST2,0.846
DCST1,0.86096
ADAM15,0.82481
EFNA4,0.74616
EFNA3,0.42923
